"country",".model_id",".model_desc",".type","mae","mape","mase","smape","rmse","rsq"
"ALL_COUNTRIES",1,"ARIMA(0,0,1)(0,1,1)[7] WITH DRIFT","Test",19635.6436119044,Inf,0.669544207637621,63.1353783510358,32687.893461733,0.451138545531073
"ALL_COUNTRIES",2,"XGBOOST","Test",17520.9081851632,Inf,0.597435094045734,54.2059583910046,27904.4568282781,0.469531426746838
"EIRE",1,"ARIMA(0,0,0) WITH NON-ZERO MEAN","Test",864.439116722716,Inf,0.724071646876317,109.971758524809,1202.70625256389,NA
"EIRE",2,"XGBOOST","Test",1024.34236104693,Inf,0.858009830860461,138.382228678601,1492.8857988898,0.0264564870827124
"France",1,"ARIMA(1,1,1)","Test",695.496592576567,Inf,0.791163065640852,88.9682024757831,870.673783993857,0.0380399559433526
"France",2,"XGBOOST","Test",1968.55046578907,Inf,2.23932717716507,112.983214467627,3434.38735538445,0.00248689290996188
"Germany",1,"ARIMA(0,0,1)(2,0,0)[7] WITH NON-ZERO MEAN","Test",754.496299025828,Inf,0.802770199692715,112.992456410985,1134.64302566968,0.000985194108751737
"Germany",2,"XGBOOST","Test",956.743792375837,Inf,1.01795781669437,106.955884840656,1295.1826563919,0.0538154133307834
"Netherlands",1,"ARIMA(0,0,0) WITH NON-ZERO MEAN","Test",1417.53916306962,Inf,0.797976985806368,182.789586359739,2751.96985367095,NA
"Netherlands",2,"XGBOOST","Test",2390.28496774219,Inf,1.34556592401074,188.582239910847,4273.31321395078,0.00946847543470571
"United Kingdom",1,"ARIMA(1,0,1)(2,0,0)[7] WITH NON-ZERO MEAN","Test",27364.3333283103,Inf,0.994438498867459,81.9472852172721,38482.6185247329,0.284612181389452
"United Kingdom",2,"XGBOOST","Test",16238.3158545067,Inf,0.590111450871163,53.6288174350135,28998.1923237906,0.38262513882688
